num,dpt,evt,deb,fin
1,dpt_09,Festival Musiques au Pays de Gabriel Fauré,2018-03-24,2018-10-12
2,dpt_09,Swing à  Mirepoix,2018-03-31,2018-04-02
3,dpt_09,Jazz à  Foix,2018-07-24,2018-07-28
4,dpt_09,Festival Spectacles de Grands Chemins,2018-07-24,2018-07-28
5,dpt_09,"MIMA, festival international de marionnettes",2018-08-02,2018-08-05
6,dpt_11,Carnaval de Limoux,2018-01-07,2018-03-18
7,dpt_11,Ampélofolies du Cabardès,2018-01-28,2018-01-28
8,dpt_11,Toques et Clochers,2018-03-24,2018-03-25
9,dpt_11,Découvrons ensemble les espaces naturels sensibles de l Aude,2018-04-07,2018-11-10
10,dpt_11,Mondial du Vent,2018-04-17,2018-04-22
11,dpt_11,Banquets du Livre de Lagrasse,2018-05-11,2018-05-13
12,dpt_11,Sentiers Gourmands en Clape Vigneronne,2018-05-20,2018-05-20
13,dpt_11,Festival de Carcassonne,2018-07-03,2018-07-31
14,dpt_11,Embrasement de la cité de Carcassonne,2018-07-14,2018-07-14
15,dpt_11,Festival Musique et Histoire à  l'abbaye de Fontfroide,2018-07-15,2018-07-19
16,dpt_11,Cabardièses de Pennautier,2018-07-25,2018-07-29
17,dpt_11,Festival Jazz à  l'Hospitalet,2018-07-25,2018-07-29
18,dpt_11,Jazz sous les châtaigniers,2018-08-03,2018-08-04
19,dpt_11,Festival Médiéval de Peyrepertuse,2018-08-08,2018-08-09
20,dpt_11,Fête du Cassoulet de Castelnaudary,2018-08-22,2018-08-26
21,dpt_11,Orchidées à  Fontfroide,2018-10-05,2018-10-07
22,dpt_11,Festival Voix d'étoiles,2018-10-24,2018-10-28
23,dpt_11,Foire départementale de l'élevage à  Espezel,2018-10-27,2018-10-28
24,dpt_11,Festival Jazz Conilhac,2018-11-03,2018-11-24
25,dpt_11,Festival de la caricature et du dessin de presse,2018-11-22,2018-12-02
26,dpt_11,Fête de la Saint Nicolas à  Carcassonne,2018-12-08,2018-12-09
27,dpt_12,Natural Games,2018-06-28,2018-07-01
28,dpt_12,Festival de Sylvanès,2018-07-08,2018-08-16
29,dpt_12,Millau Jazz Festival,2018-07-14,2018-07-21
30,dpt_12,Festival Sous les Toiles,2018-07-15,2018-07-20
31,dpt_12,Rencontres Musicales de Conques,2018-07-17,2018-08-25
32,dpt_12,Festival en Bastides,2018-07-30,2018-08-04
33,dpt_12,Festival des Templiers,2018-10-18,2018-10-21
34,dpt_30,Festival Flamenco de Nîmes,2018-01-11,2018-01-19
35,dpt_30,Festival British Screen / Ecrans Britanniques,2018-03-02,2018-03-11
36,dpt_30,Abrivado des Plages,2018-03-10,2018-03-10
37,dpt_30,Festival cinéma d'Alès Itinérances,2018-03-23,2018-04-02
38,dpt_30,Foire aux antiquités et à  la brocante de Barjac,2018-03-28,2018-04-02
39,dpt_30,Les Nautiques de Port-Camargue,2018-03-30,2018-04-02
40,dpt_30,Avril en balade en Uzège Pont du Gard,2018-04-03,2018-04-30
41,dpt_30,Les Grands Jeux Romains,2018-04-28,2018-04-30
42,dpt_30,Feria de Nîmes,2018-05-07,2018-05-21
43,dpt_30,Festival international du documentaire en Cévennes,2018-05-09,2018-05-12
44,dpt_30,FIRA - Festival de la Randonnée en Cévennes,2018-05-10,2018-05-13
45,dpt_30,Printemps du Pélardon,2018-05-13,2018-05-13
46,dpt_30,Ouverture du Musée de la Romanité à  Nîmes,2018-06-02,2018-09-24
47,dpt_30,Féeries du Pont au Pont du Gard,2018-06-07,2018-06-09
48,dpt_30,Fête de la Transhumance à  l'Espérou,2018-06-10,2018-06-10
49,dpt_30,Uzès Danse,2018-06-13,2018-06-17
50,dpt_30,JM'S - Journées Méditerranéennes des Saveurs,2018-06-16,2018-06-17
51,dpt_30,Festival de Nîmes,2018-06-17,2018-07-22
52,dpt_30,Rencontres d'été de la Chartreuse,2018-07-06,2018-07-24
53,dpt_30,"Terralha, Festival Européen des Arts Céramiques",2018-07-13,2018-07-15
54,dpt_30,Médiévales du Volo Biou,2018-07-13,2018-07-14
55,dpt_30,Jazz à  Junas,2018-07-17,2018-07-21
56,dpt_30,Nuits Musicales d'Uzès,2018-07-18,2018-07-29
57,dpt_30,Les Transes Cévenoles,2018-07-21,2018-07-22
58,dpt_30,Fête de la Saint Louis à  Aigues-Mortes,2018-08-25,2018-08-26
59,dpt_30,Jours de Figues,2018-09-29,2018-09-30
60,dpt_30,Semaine Cévenole,2018-10-01,2018-10-07
61,dpt_30,Les Vendanges de l'Histoire,2018-10-13,2018-10-14
62,dpt_30,Foire de la Pomme et de l'Oignon,2018-10-27,2018-10-27
63,dpt_30,Festival du Polar de Villeneuve-lez-Avignon,2018-11-09,2018-11-11
64,dpt_30,MIAM - Salon de la gastronomie,2018-11-16,2018-11-19
65,dpt_30,"Journées de l'Arbre, de la Plante et du Fruit",2018-11-24,2018-11-25
66,dpt_30,Fête de l'Olive à  Corconne,2018-12-09,2018-12-09
67,dpt_31,Festival des Créations Télévisuelles de Luchon,2018-02-07,2018-02-11
68,dpt_31,Journées européennes des Métiers d'Art,2018-04-03,2018-04-08
69,dpt_31,Tous au Paquodrôme,2018-04-20,2018-04-20
70,dpt_31,Open Summer Festival,2018-06-09,2018-06-10
71,dpt_31,Festival Rio Loco !,2018-06-14,2018-06-17
72,dpt_31,Journées du Patrimoine de Pays et des Moulins,2018-06-16,2018-06-17
73,dpt_31,Les Siestes  électroniques,2018-06-27,2018-07-01
74,dpt_31,Festival Tangopostale,2018-06-29,2018-07-08
75,dpt_31,Festival du Comminges,2018-07-16,2018-09-01
76,dpt_31,Piano aux Jacobins,2018-09-05,2018-09-29
77,dpt_31,Electro Alternativ,2018-09-07,2018-09-23
78,dpt_31,ManifestO - Rencontres Photographiques de Toulouse,2018-09-14,2018-09-29
79,dpt_31,Festival international Toulouse les Orgues,2018-10-02,2018-10-14
80,dpt_31,Festival Cinespaà±a,2018-10-05,2018-10-14
81,dpt_31,La Machine à  Toulouse,2018-11-01,2018-11-04
82,dpt_32,"St-Mont, Vignobles en Fête",2018-03-23,2018-03-25
83,dpt_32,Run & Bike à  Condom,2018-06-09,2018-06-09
84,dpt_32,Festival éclats de Voix,2018-06-11,2018-06-17
85,dpt_32,Festival Tempo Latino,2018-07-26,2018-07-29
86,dpt_32,Festival jazz in Marciac,2018-07-27,2018-08-15
87,dpt_32,Jazz au coeur du Saint-Mont,2018-08-02,2018-08-02
88,dpt_32,Foire aux Vins et aux Eaux de Vie du Gers,2018-08-11,2018-08-12
89,dpt_32,L'été photographique de Lectoure,2018-09-14,2018-09-23
90,dpt_32,Festival Indépendance(s) et Création,2018-10-03,2018-10-07
91,dpt_32,Classic Festival,2018-10-06,2018-10-07
92,dpt_32,CIRCA- Festival du Cirque Actuel,2018-10-19,2018-10-28
93,dpt_32,La Flamme de l'Armagnac,2018-11-13,2018-11-13
94,dpt_32,La Flamme de l'Armagnac à  Montréal,2018-11-17,2018-11-18
95,dpt_32,Vendanges et Réveillon du Pacherenc de la St Sylvestre,2018-12-31,2018-12-31
96,dpt_34,Fête de la Soupe autour des vins du Pic Saint Loup,2018-02-04,2018-02-04
97,dpt_34,Open Sud de France,2018-02-05,2018-02-11
98,dpt_34,Fête du Cochon et du Terroir,2018-02-25,2018-02-25
99,dpt_34,Escale à  Sète,2018-03-27,2018-04-02
100,dpt_34,ZAT Montpellier,2018-04-14,2018-04-15
101,dpt_34,Toutes Caves Ouvertes à  Montpeyroux,2018-04-15,2018-04-15
102,dpt_34,Printival Pézenas,2018-04-17,2018-04-21
103,dpt_34,Les Boutographies - Rencontres photographiques,2018-05-05,2018-05-27
104,dpt_34,Foire à  la Brocante de Pézenas,2018-05-06,2018-05-06
105,dpt_34,Festival ImageSingulières,2018-05-08,2018-05-27
106,dpt_34,FISE World Montpellier,2018-05-09,2018-05-13
107,dpt_34,Saperlipopette,2018-05-12,2018-05-13
108,dpt_34,"FESTIKITE, festival international du kite",2018-05-18,2018-05-21
109,dpt_34,Festa Trail Pic Saint-Loup,2018-05-18,2018-05-20
110,dpt_34,Comédie du Livre,2018-05-25,2018-05-27
111,dpt_34,Printemps des Comédiens,2018-05-31,2018-06-30
112,dpt_34,Balade Gourmande en Saint-Jean-de-Minervois,2018-06-03,2018-06-03
113,dpt_34,Festival de Musique à  Maguelone,2018-06-05,2018-06-15
114,dpt_34,"Molière, le théâtre dans tous ses éclats",2018-06-06,2018-06-10
